tidspunkt,temperatur,trykk,fukt,pm25,pm10
2022-11-06 22:19:30.513802,22.446396162867266,99206.25395234548,26.036005971844823,4,4
2022-11-06 22:19:37.772708,22.93654233723401,99205.48889972919,26.052459512146587,3,3
2022-11-06 22:19:59.758423,22.96635222245195,99204.4434729135,25.985137077519976,3,3
2022-11-06 22:20:07.023222,22.99295181819625,99202.86985521877,26.190302327875642,2,2
2022-11-06 22:20:14.285228,22.944797381676658,99203.27781109152,26.13012173618118,2,2
2022-11-06 22:20:21.341805,22.837023232212623,99202.9996161346,26.221234614912692,3,3
2022-11-06 22:20:28.242042,22.57498146270305,99203.58966836944,26.216137217561847,4,4
2022-11-06 22:20:35.104686,22.834271552988046,99203.04267619517,26.082333143556255,3,4
2022-11-06 22:20:42.025265,23.112364791960843,99202.31685204845,26.053747910381528,4,4
2022-11-06 22:20:48.944623,22.863164187794585,99203.45777416966,26.065070568971976,3,3
2022-11-06 22:20:55.791724,22.867291707584716,99203.21969577308,26.0705453307089,3,3
2022-11-06 22:21:02.704159,23.03256609587674,99202.52486167235,26.12762561284534,3,3
2022-11-06 22:21:09.628567,22.801251406904246,99200.78403767958,26.066329068865073,3,3
2022-11-06 22:21:16.461909,22.82876819471624,99200.5269418162,26.03241948987941,3,3
2022-11-06 22:21:23.375553,22.85995389471644,99201.8890432155,26.059577208806193,4,4
2022-11-06 22:21:30.317853,23.347806996414487,99201.91172463754,26.0927334601252,3,4
2022-11-06 22:21:37.140776,23.093561646452226,99201.10788791873,26.065247733962618,4,5
2022-11-06 22:21:44.161747,22.37026634072914,99201.49031757482,26.47667563650397,4,5
2022-11-06 22:21:51.081439,22.30743634087937,99198.5418464644,26.18891959319371,4,4
2022-11-06 22:29:53.340348,22.007287260819467,99193.88232670874,27.378753111061044,3,3
2022-11-06 22:30:00.609329,22.07699577568532,99195.00385889475,27.211113592130335,2,2
2022-11-06 22:30:07.869836,22.521280953036257,99195.58385833655,27.189553938049855,3,3
2022-11-06 22:30:14.709548,22.499726348125282,99193.89460786735,27.223223946837233,4,4
2022-11-06 22:30:21.631090,22.270704626095377,99193.79713573838,27.19531057363481,4,4
2022-11-06 22:30:28.547143,21.988484312648847,99193.53637210613,27.301462417297504,5,5
2022-11-06 22:30:35.390483,21.953171466227687,99194.31012187006,27.352008855311684,5,5
2022-11-06 22:30:42.311613,22.111108928323382,99193.47857069875,27.990988532399783,5,5
2022-11-06 22:30:49.222397,21.662872721156283,99196.51065599677,27.70641163797274,5,6
2022-11-06 22:30:56.068357,21.722491683041895,99193.23142939327,27.55572207445009,6,6
2022-11-06 22:31:02.985593,21.78486231902532,99192.16006314292,27.471466437997726,5,6
2022-11-06 22:31:09.907255,21.83943665042623,99192.30423476697,27.415051466070114,5,6
2022-11-06 22:31:16.747118,21.947668166363634,99189.8915201898,27.352108661480145,5,5
2022-11-06 22:31:23.661639,22.2977625371007,99189.16576075522,28.5588357328172,6,6
2022-11-06 22:31:30.580473,22.72582057591855,99188.73605574462,28.278476558015754,7,7
2022-11-06 22:31:37.424707,22.29850400567134,99188.64302504691,27.26251823173282,7,7
2022-11-06 22:31:44.339494,22.39802232067569,99190.10819039989,27.82106555878708,7,7
2022-11-06 22:31:51.255245,22.742613757910853,99189.97742357905,26.970166194116846,5,6
